Year,Year Code,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
2018.0,2018.0,New York,36.0,HIV disease resulting in multiple diseases classified elsewhere,B22.7,32.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",B23.2,12.0,19542209.0,
2018.0,2018.0,New York,36.0,HIV disease resulting in other specified conditions,B23.8,85.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,Unspecified human immunodeficiency virus [HIV] disease,B24,61.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Other viral infections of unspecified site,B34.8,72.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Viral infection, unspecified",B34.9,21.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Candidal septicaemia,B37.7,13.0,19542209.0,
2018.0,2018.0,New York,36.0,Unspecified mycosis,B49,22.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Sequelae of other specified infectious and parasitic diseases,B94.8,35.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Other and unspecified infectious diseases,B99,55.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Tongue, unspecified - Malignant neoplasms",C02.9,132.0,19542209.0,0.7
2018.0,2018.0,New York,36.0,"Mouth, unspecified - Malignant neoplasms",C06.9,59.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Malignant neoplasm of parotid gland,C07,27.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Major salivary gland, unspecified - Malignant neoplasms",C08.9,14.0,19542209.0,
2018.0,2018.0,New York,36.0,"Tonsil, unspecified - Malignant neoplasms",C09.9,47.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Oropharynx, unspecified - Malignant neoplasms",C10.9,72.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,53.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Hypopharynx, unspecified - Malignant neoplasms",C13.9,20.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Pharynx, unspecified - Malignant neoplasms",C14.0,64.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Lower third of oesophagus - Malignant neoplasms,C15.5,11.0,19542209.0,
2018.0,2018.0,New York,36.0,"Oesophagus, unspecified - Malignant neoplasms",C15.9,821.0,19542209.0,4.2
2018.0,2018.0,New York,36.0,Cardia - Malignant neoplasms,C16.0,70.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Stomach, unspecified - Malignant neoplasms",C16.9,709.0,19542209.0,3.6
2018.0,2018.0,New York,36.0,Duodenum - Malignant neoplasms,C17.0,48.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Small intestine, unspecified - Malignant neoplasms",C17.9,27.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Caecum - Malignant neoplasms,C18.0,30.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Appendix - Malignant neoplasms,C18.1,44.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Ascending colon - Malignant neoplasms,C18.2,11.0,19542209.0,
2018.0,2018.0,New York,36.0,Sigmoid colon - Malignant neoplasms,C18.7,24.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Colon, unspecified - Malignant neoplasms",C18.9,2145.0,19542209.0,11.0
2018.0,2018.0,New York,36.0,Malignant neoplasm of rectosigmoid junction,C19,165.0,19542209.0,0.8
2018.0,2018.0,New York,36.0,Malignant neoplasm of rectum,C20,417.0,19542209.0,2.1
2018.0,2018.0,New York,36.0,"Anus, unspecified - Malignant neoplasms",C21.0,63.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Liver cell carcinoma - Malignant neoplasms,C22.0,542.0,19542209.0,2.8
2018.0,2018.0,New York,36.0,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,473.0,19542209.0,2.4
2018.0,2018.0,New York,36.0,"Liver, unspecified - Malignant neoplasms",C22.9,417.0,19542209.0,2.1
2018.0,2018.0,New York,36.0,Malignant neoplasm of gallbladder,C23,167.0,19542209.0,0.9
2018.0,2018.0,New York,36.0,Extrahepatic bile duct - Malignant neoplasms,C24.0,59.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Ampulla of Vater - Malignant neoplasms,C24.1,19.0,19542209.0,
2018.0,2018.0,New York,36.0,"Biliary tract, unspecified - Malignant neoplasms",C24.9,59.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Head of pancreas - Malignant neoplasms,C25.0,16.0,19542209.0,
2018.0,2018.0,New York,36.0,"Pancreas, unspecified - Malignant neoplasms",C25.9,2725.0,19542209.0,13.9
2018.0,2018.0,New York,36.0,"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,10.0,19542209.0,
2018.0,2018.0,New York,36.0,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,85.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,Supraglottis - Malignant neoplasms,C32.1,11.0,19542209.0,
2018.0,2018.0,New York,36.0,"Larynx, unspecified - Malignant neoplasms",C32.9,193.0,19542209.0,1.0
2018.0,2018.0,New York,36.0,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,73.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,34.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,7609.0,19542209.0,38.9
2018.0,2018.0,New York,36.0,Malignant neoplasm of thymus,C37,21.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Mandible - Malignant neoplasms,C41.1,10.0,19542209.0,
2018.0,2018.0,New York,36.0,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,67.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,388.0,19542209.0,2.0
2018.0,2018.0,New York,36.0,Skin of ear and external auricular canal - Malignant neoplasms,C44.2,10.0,19542209.0,
2018.0,2018.0,New York,36.0,Skin of other and unspecified parts of face - Malignant neoplasms,C44.3,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Skin of scalp and neck - Malignant neoplasms,C44.4,62.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,99.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,Mesothelioma of pleura - Malignant neoplasms,C45.0,10.0,19542209.0,
2018.0,2018.0,New York,36.0,Mesothelioma of peritoneum - Malignant neoplasms,C45.1,10.0,19542209.0,
2018.0,2018.0,New York,36.0,Mesothelioma of other sites - Malignant neoplasms,C45.7,21.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,89.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,Retroperitoneum - Malignant neoplasms,C48.0,20.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Peritoneum, unspecified - Malignant neoplasms",C48.2,40.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Connective and soft tissue of lower limb, including hip - Malignant neoplasms",C49.2,15.0,19542209.0,
2018.0,2018.0,New York,36.0,Connective and soft tissue of abdomen - Malignant neoplasms,C49.4,28.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,232.0,19542209.0,1.2
2018.0,2018.0,New York,36.0,"Breast, unspecified - Malignant neoplasms",C50.9,2662.0,19542209.0,13.6
2018.0,2018.0,New York,36.0,"Vulva, unspecified - Malignant neoplasms",C51.9,80.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,Malignant neoplasm of vagina,C52,17.0,19542209.0,
2018.0,2018.0,New York,36.0,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,227.0,19542209.0,1.2
2018.0,2018.0,New York,36.0,Endometrium - Malignant neoplasms,C54.1,447.0,19542209.0,2.3
2018.0,2018.0,New York,36.0,"Malignant neoplasm of uterus, part unspecified",C55,400.0,19542209.0,2.0
2018.0,2018.0,New York,36.0,Malignant neoplasm of ovary,C56,894.0,19542209.0,4.6
2018.0,2018.0,New York,36.0,Fallopian tube - Malignant neoplasms,C57.0,28.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Penis, unspecified - Malignant neoplasms",C60.9,15.0,19542209.0,
2018.0,2018.0,New York,36.0,Malignant neoplasm of prostate,C61,1749.0,19542209.0,8.9
2018.0,2018.0,New York,36.0,"Testis, unspecified - Malignant neoplasms",C62.9,17.0,19542209.0,
2018.0,2018.0,New York,36.0,"Malignant neoplasm of kidney, except renal pelvis",C64,713.0,19542209.0,3.6
2018.0,2018.0,New York,36.0,Malignant neoplasm of ureter,C66,17.0,19542209.0,
2018.0,2018.0,New York,36.0,"Bladder, unspecified - Malignant neoplasms",C67.9,1019.0,19542209.0,5.2
2018.0,2018.0,New York,36.0,Urethra - Malignant neoplasms,C68.0,21.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Eye, unspecified - Malignant neoplasms",C69.9,13.0,19542209.0,
2018.0,2018.0,New York,36.0,"Meninges, unspecified - Malignant neoplasms",C70.9,15.0,19542209.0,
2018.0,2018.0,New York,36.0,"Cerebrum, except lobes and ventricles - Malignant neoplasms",C71.0,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Frontal lobe - Malignant neoplasms,C71.1,16.0,19542209.0,
2018.0,2018.0,New York,36.0,Temporal lobe - Malignant neoplasms,C71.2,15.0,19542209.0,
2018.0,2018.0,New York,36.0,Cerebellum - Malignant neoplasms,C71.6,10.0,19542209.0,
2018.0,2018.0,New York,36.0,Brain stem - Malignant neoplasms,C71.7,13.0,19542209.0,
2018.0,2018.0,New York,36.0,"Brain, unspecified - Malignant neoplasms",C71.9,837.0,19542209.0,4.3
2018.0,2018.0,New York,36.0,Malignant neoplasm of thyroid gland,C73,123.0,19542209.0,0.6
2018.0,2018.0,New York,36.0,"Adrenal gland, unspecified - Malignant neoplasms",C74.9,22.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Head, face and neck - Malignant neoplasms",C76.0,25.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Abdomen - Malignant neoplasms,C76.2,16.0,19542209.0,
2018.0,2018.0,New York,36.0,Pelvis - Malignant neoplasms,C76.3,16.0,19542209.0,
2018.0,2018.0,New York,36.0,Other ill-defined sites - Malignant neoplasms,C76.7,13.0,19542209.0,
2018.0,2018.0,New York,36.0,Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,14.0,19542209.0,
2018.0,2018.0,New York,36.0,Secondary malignant neoplasm of pleura - Malignant neoplasms,C78.2,16.0,19542209.0,
2018.0,2018.0,New York,36.0,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,38.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,126.0,19542209.0,0.6
2018.0,2018.0,New York,36.0,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,37.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,15.0,19542209.0,
2018.0,2018.0,New York,36.0,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,137.0,19542209.0,0.7
2018.0,2018.0,New York,36.0,Malignant neoplasm without specification of site,C80,1990.0,19542209.0,10.2
2018.0,2018.0,New York,36.0,"Hodgkin disease, unspecified",C81.9,71.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Follicular non-Hodgkin lymphoma, unspecified",C82.9,25.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Non-Hodgkin lymphoma small cell (diffuse),C83.0,14.0,19542209.0,
2018.0,2018.0,New York,36.0,Non-Hodgkin lymphoma small cleaved cell (diffuse),C83.1,83.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,Non-Hodgkin lymphoma large cell (diffuse),C83.3,255.0,19542209.0,1.3
2018.0,2018.0,New York,36.0,Peripheral T-cell lymphoma - Malignant neoplasms,C84.4,18.0,19542209.0,
2018.0,2018.0,New York,36.0,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,92.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,205.0,19542209.0,1.0
2018.0,2018.0,New York,36.0,"Non-Hodgkin lymphoma, unspecified type",C85.9,428.0,19542209.0,2.2
2018.0,2018.0,New York,36.0,Waldenstr÷m macroglobulinemia,C88.0,13.0,19542209.0,
2018.0,2018.0,New York,36.0,Multiple myeloma - Malignant neoplasms,C90.0,674.0,19542209.0,3.4
2018.0,2018.0,New York,36.0,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,97.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,237.0,19542209.0,1.2
2018.0,2018.0,New York,36.0,Acute myeloid leukaemia - Malignant neoplasms,C92.0,679.0,19542209.0,3.5
2018.0,2018.0,New York,36.0,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,61.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Acute promyelocytic leukaemia - Malignant neoplasms,C92.4,11.0,19542209.0,
2018.0,2018.0,New York,36.0,Acute myelomonocytic leukaemia - Malignant neoplasms,C92.5,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Other myeloid leukaemia - Malignant neoplasms,C92.7,44.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,94.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,Chronic leukaemia of unspecified cell type - Malignant neoplasms,C95.1,15.0,19542209.0,
2018.0,2018.0,New York,36.0,"Leukaemia, unspecified - Malignant neoplasms",C95.9,112.0,19542209.0,0.6
2018.0,2018.0,New York,36.0,"Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified - Malignant neoplasms",C96.9,11.0,19542209.0,
2018.0,2018.0,New York,36.0,Malignant neoplasms of independent (primary) multiple sites,C97,248.0,19542209.0,1.3
2018.0,2018.0,New York,36.0,Cerebral meninges - Benign neoplasms,D32.0,14.0,19542209.0,
2018.0,2018.0,New York,36.0,"Meninges, unspecified - Benign neoplasms",D32.9,32.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Liver, gallbladder and bile ducts - Uncertain neoplasms",D37.6,13.0,19542209.0,
2018.0,2018.0,New York,36.0,Other digestive organs - Uncertain neoplasms,D37.7,19.0,19542209.0,
2018.0,2018.0,New York,36.0,"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,45.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Bladder - Uncertain neoplasms,D41.4,12.0,19542209.0,
2018.0,2018.0,New York,36.0,"Brain, unspecified - Uncertain neoplasms",D43.2,99.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,376.0,19542209.0,1.9
2018.0,2018.0,New York,36.0,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,75.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,Connective and other soft tissue - Uncertain neoplasms,D48.1,29.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,33.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Sickle-cell anaemia without crisis,D57.1,35.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Other autoimmune haemolytic anaemias,D59.1,12.0,19542209.0,
2018.0,2018.0,New York,36.0,"Aplastic anaemia, unspecified",D61.9,34.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Acute posthaemorrhagic anaemia,D62,29.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Anaemia, unspecified",D64.9,113.0,19542209.0,0.6
2018.0,2018.0,New York,36.0,Disseminated intravascular coagulation [defibrination syndrome],D65,39.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Other thrombophilia,D68.6,12.0,19542209.0,
2018.0,2018.0,New York,36.0,"Coagulation defect, unspecified",D68.9,51.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Idiopathic thrombocytopenic purpura,D69.3,11.0,19542209.0,
2018.0,2018.0,New York,36.0,"Thrombocytopenia, unspecified",D69.6,16.0,19542209.0,
2018.0,2018.0,New York,36.0,Agranulocytosis,D70,34.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Haemophagocytic lymphohistiocytosis,D76.1,17.0,19542209.0,
2018.0,2018.0,New York,36.0,"Immunodeficiency, unspecified",D84.9,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Sarcoidosis of lung,D86.0,22.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Sarcoidosis, unspecified",D86.9,63.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Hypothyroidism, unspecified",E03.9,83.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Insulin-dependent diabetes mellitus, with ketoacidosis",E10.1,16.0,19542209.0,
2018.0,2018.0,New York,36.0,"Insulin-dependent diabetes mellitus, with renal complications",E10.2,45.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Insulin-dependent diabetes mellitus, with multiple complications",E10.7,10.0,19542209.0,
2018.0,2018.0,New York,36.0,"Insulin-dependent diabetes mellitus, without complications",E10.9,56.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,300.0,19542209.0,1.5
2018.0,2018.0,New York,36.0,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,49.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,56.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,526.0,19542209.0,2.7
2018.0,2018.0,New York,36.0,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,158.0,19542209.0,0.8
2018.0,2018.0,New York,36.0,"Unspecified diabetes mellitus, with renal complications",E14.2,806.0,19542209.0,4.1
2018.0,2018.0,New York,36.0,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,126.0,19542209.0,0.6
2018.0,2018.0,New York,36.0,"Unspecified diabetes mellitus, with other specified complications",E14.6,28.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Unspecified diabetes mellitus, with multiple complications",E14.7,106.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,"Unspecified diabetes mellitus, without complications",E14.9,2189.0,19542209.0,11.2
2018.0,2018.0,New York,36.0,"Hypoglycaemia, unspecified",E16.2,26.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Unspecified severe protein-energy malnutrition,E43,98.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,Unspecified protein-energy malnutrition,E46,61.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Extreme obesity with alveolar hypoventilation,E66.2,28.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,Other obesity,E66.8,255.0,19542209.0,1.3
2018.0,2018.0,New York,36.0,"Obesity, unspecified",E66.9,173.0,19542209.0,0.9
2018.0,2018.0,New York,36.0,Pure hypercholesterolaemia,E78.0,104.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,"Hyperlipidaemia, unspecified",E78.5,619.0,19542209.0,3.2
2018.0,2018.0,New York,36.0,"Disorder of lipoprotein metabolism, unspecified",E78.9,49.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Disorders of calcium metabolism,E83.5,15.0,19542209.0,
2018.0,2018.0,New York,36.0,Cystic fibrosis with other manifestations,E84.8,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Organ-limited amyloidosis,E85.4,87.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Amyloidosis, unspecified",E85.9,42.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Volume depletion,E86,95.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,Hyperosmolality and hypernatraemia,E87.0,78.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,Hypo-osmolality and hyponatraemia,E87.1,15.0,19542209.0,
2018.0,2018.0,New York,36.0,Acidosis,E87.2,145.0,19542209.0,0.7
2018.0,2018.0,New York,36.0,Hyperkalaemia,E87.5,31.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,Hypokalaemia,E87.6,12.0,19542209.0,
2018.0,2018.0,New York,36.0,Fluid overload,E87.7,18.0,19542209.0,
2018.0,2018.0,New York,36.0,"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,64.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,"Disorders of plasma-protein metabolism, not elsewhere classified",E88.0,10.0,19542209.0,
2018.0,2018.0,New York,36.0,"Metabolic disorder, unspecified",E88.9,97.0,19542209.0,0.5
2018.0,2018.0,New York,36.0,Multi-infarct dementia,F01.1,17.0,19542209.0,
2018.0,2018.0,New York,36.0,"Vascular dementia, unspecified",F01.9,606.0,19542209.0,3.1
2018.0,2018.0,New York,36.0,Unspecified dementia,F03,7005.0,19542209.0,35.8
2018.0,2018.0,New York,36.0,Delirium superimposed on dementia,F05.1,21.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Delirium, unspecified",F05.9,50.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,33.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,242.0,19542209.0,1.2
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,264.0,19542209.0,1.4
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder",F10.9,25.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to use of opioids, harmful use",F11.1,22.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to use of cocaine, harmful use",F14.1,25.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,29.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,80.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",F19.9,23.0,19542209.0,0.1
2018.0,2018.0,New York,36.0,"Schizophrenia, unspecified",F20.9,31.0,19542209.0,0.2
2018.0,2018.0,New York,36.0,"Bipolar affective disorder, unspecified",F31.9,11.0,19542209.0,
2018.0,2018.0,New York,36.0,Severe depressive episode without psychotic symptoms,F32.2,16.0,19542209.0,
2018.0,2018.0,New York,36.0,"Depressive episode, unspecified",F32.9,15.0,19542209.0,
2018.0,2018.0,New York,36.0,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,F54,10.0,19542209.0,
2018.0,2018.0,New York,36.0,Unspecified mental retardation,F79,18.0,19542209.0,
2018.0,2018.0,New York,36.0,"Bacterial meningitis, unspecified",G00.9,14.0,19542209.0,
2018.0,2018.0,New York,36.0,"Meningitis, unspecified",G03.9,18.0,19542209.0,
2018.0,2018.0,New York,36.0,"Encephalitis, myelitis and encephalomyelitis, unspecified",G04.9,15.0,19542209.0,
2018.0,2018.0,New York,36.0,"Extradural and subdural abscess, unspecified",G06.2,13.0,19542209.0,
2018.0,2018.0,New York,36.0,Huntington disease,G10,52.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Motor neuron disease,G12.2,378.0,19542209.0,1.9
2018.0,2018.0,New York,36.0,Parkinson disease,G20,1595.0,19542209.0,8.2
2018.0,2018.0,New York,36.0,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],G23.1,67.0,19542209.0,0.3
2018.0,2018.0,New York,36.0,Alzheimer disease with early onset,G30.0,14.0,19542209.0,
2018.0,2018.0,New York,36.0,Alzheimer disease with late onset,G30.1,257.0,19542209.0,1.3
2018.0,2018.0,New York,36.0,"Alzheimer disease, unspecified",G30.9,3482.0,19542209.0,17.8
2018.0,2018.0,New York,36.0,Circumscribed brain atrophy,G31.0,69.0,19542209.0,0.4
2018.0,2018.0,New York,36.0,"Senile degeneration of brain, not elsewhere classified",G31.1,710.0,19542209.0,3.6
2018.0,2018.0,New York,36.0,Other specified degenerative diseases of nervous system,G31.8,217.0,19542209.0,1.1
2018.0,2018.0,New York,36.0,"Degenerative disease of nervous system, unspecified",G31.9,44.0,19542209.0,0.2
