"Notes","Year","Year Code","State","State Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"2018","2018","New York","36","Intestinal tract, part unspecified - Malignant neoplasms","C26.0",10,19542209,Unreliable
,"2018","2018","New York","36","Ill-defined sites within the digestive system - Malignant neoplasms","C26.9",85,19542209,0.4
,"2018","2018","New York","36","Supraglottis - Malignant neoplasms","C32.1",11,19542209,Unreliable
,"2018","2018","New York","36","Larynx, unspecified - Malignant neoplasms","C32.9",193,19542209,1.0
,"2018","2018","New York","36","Upper lobe, bronchus or lung - Malignant neoplasms","C34.1",73,19542209,0.4
,"2018","2018","New York","36","Lower lobe, bronchus or lung - Malignant neoplasms","C34.3",34,19542209,0.2
,"2018","2018","New York","36","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",7609,19542209,38.9
,"2018","2018","New York","36","Malignant neoplasm of thymus","C37",21,19542209,0.1
,"2018","2018","New York","36","Mandible - Malignant neoplasms","C41.1",10,19542209,Unreliable
,"2018","2018","New York","36","Bone and articular cartilage, unspecified - Malignant neoplasms","C41.9",67,19542209,0.3
,"2018","2018","New York","36","Malignant melanoma of skin, unspecified - Malignant neoplasms","C43.9",388,19542209,2.0
,"2018","2018","New York","36","Skin of ear and external auricular canal - Malignant neoplasms","C44.2",10,19542209,Unreliable
,"2018","2018","New York","36","Skin of other and unspecified parts of face - Malignant neoplasms","C44.3",12,19542209,Unreliable
,"2018","2018","New York","36","Skin of scalp and neck - Malignant neoplasms","C44.4",62,19542209,0.3
,"2018","2018","New York","36","Malignant neoplasm of skin, unspecified - Malignant neoplasms","C44.9",99,19542209,0.5
,"2018","2018","New York","36","Mesothelioma of pleura - Malignant neoplasms","C45.0",10,19542209,Unreliable
,"2018","2018","New York","36","Mesothelioma of peritoneum - Malignant neoplasms","C45.1",10,19542209,Unreliable
,"2018","2018","New York","36","Mesothelioma of other sites - Malignant neoplasms","C45.7",21,19542209,0.1
,"2018","2018","New York","36","Mesothelioma, unspecified - Malignant neoplasms","C45.9",89,19542209,0.5
,"2018","2018","New York","36","Retroperitoneum - Malignant neoplasms","C48.0",20,19542209,0.1
,"2018","2018","New York","36","Peritoneum, unspecified - Malignant neoplasms","C48.2",40,19542209,0.2
,"2018","2018","New York","36","Connective and soft tissue of lower limb, including hip - Malignant neoplasms","C49.2",15,19542209,Unreliable
,"2018","2018","New York","36","Connective and soft tissue of abdomen - Malignant neoplasms","C49.4",28,19542209,0.1
,"2018","2018","New York","36","Connective and soft tissue, unspecified - Malignant neoplasms","C49.9",232,19542209,1.2
,"2018","2018","New York","36","Breast, unspecified - Malignant neoplasms","C50.9",2662,19542209,13.6
,"2018","2018","New York","36","Vulva, unspecified - Malignant neoplasms","C51.9",80,19542209,0.4
,"2018","2018","New York","36","Malignant neoplasm of vagina","C52",17,19542209,Unreliable
,"2018","2018","New York","36","Cervix uteri, unspecified - Malignant neoplasms","C53.9",227,19542209,1.2
,"2018","2018","New York","36","Endometrium - Malignant neoplasms","C54.1",447,19542209,2.3
,"2018","2018","New York","36","Malignant neoplasm of uterus, part unspecified","C55",400,19542209,2.0
,"2018","2018","New York","36","Malignant neoplasm of ovary","C56",894,19542209,4.6
,"2018","2018","New York","36","Fallopian tube - Malignant neoplasms","C57.0",28,19542209,0.1
,"2018","2018","New York","36","Penis, unspecified - Malignant neoplasms","C60.9",15,19542209,Unreliable
,"2018","2018","New York","36","Malignant neoplasm of prostate","C61",1749,19542209,8.9
,"2018","2018","New York","36","Testis, unspecified - Malignant neoplasms","C62.9",17,19542209,Unreliable
,"2018","2018","New York","36","Malignant neoplasm of kidney, except renal pelvis","C64",713,19542209,3.6
,"2018","2018","New York","36","Malignant neoplasm of ureter","C66",17,19542209,Unreliable
,"2018","2018","New York","36","Bladder, unspecified - Malignant neoplasms","C67.9",1019,19542209,5.2
,"2018","2018","New York","36","Urethra - Malignant neoplasms","C68.0",21,19542209,0.1
,"2018","2018","New York","36","Eye, unspecified - Malignant neoplasms","C69.9",13,19542209,Unreliable
,"2018","2018","New York","36","Meninges, unspecified - Malignant neoplasms","C70.9",15,19542209,Unreliable
,"2018","2018","New York","36","Cerebrum, except lobes and ventricles - Malignant neoplasms","C71.0",12,19542209,Unreliable
,"2018","2018","New York","36","Frontal lobe - Malignant neoplasms","C71.1",16,19542209,Unreliable
,"2018","2018","New York","36","Temporal lobe - Malignant neoplasms","C71.2",15,19542209,Unreliable
,"2018","2018","New York","36","Cerebellum - Malignant neoplasms","C71.6",10,19542209,Unreliable
,"2018","2018","New York","36","Brain stem - Malignant neoplasms","C71.7",13,19542209,Unreliable
,"2018","2018","New York","36","Brain, unspecified - Malignant neoplasms","C71.9",837,19542209,4.3
,"2018","2018","New York","36","Malignant neoplasm of thyroid gland","C73",123,19542209,0.6
,"2018","2018","New York","36","Adrenal gland, unspecified - Malignant neoplasms","C74.9",22,19542209,0.1
,"2018","2018","New York","36","Head, face and neck - Malignant neoplasms","C76.0",25,19542209,0.1
,"2018","2018","New York","36","Abdomen - Malignant neoplasms","C76.2",16,19542209,Unreliable
,"2018","2018","New York","36","Pelvis - Malignant neoplasms","C76.3",16,19542209,Unreliable
,"2018","2018","New York","36","Other ill-defined sites - Malignant neoplasms","C76.7",13,19542209,Unreliable
,"2018","2018","New York","36","Secondary malignant neoplasm of lung - Malignant neoplasms","C78.0",14,19542209,Unreliable
,"2018","2018","New York","36","Secondary malignant neoplasm of pleura - Malignant neoplasms","C78.2",16,19542209,Unreliable
,"2018","2018","New York","36","Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms","C78.6",38,19542209,0.2
,"2018","2018","New York","36","Secondary malignant neoplasm of liver - Malignant neoplasms","C78.7",126,19542209,0.6
,"2018","2018","New York","36","Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms","C79.3",37,19542209,0.2
,"2018","2018","New York","36","Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms","C79.5",15,19542209,Unreliable
,"2018","2018","New York","36","Secondary malignant neoplasm of other specified sites - Malignant neoplasms","C79.8",137,19542209,0.7
,"2018","2018","New York","36","Malignant neoplasm without specification of site","C80",1990,19542209,10.2
,"2018","2018","New York","36","Hodgkin disease, unspecified","C81.9",71,19542209,0.4
,"2018","2018","New York","36","Follicular non-Hodgkin lymphoma, unspecified","C82.9",25,19542209,0.1
,"2018","2018","New York","36","Non-Hodgkin lymphoma small cell (diffuse)","C83.0",14,19542209,Unreliable
,"2018","2018","New York","36","Non-Hodgkin lymphoma small cleaved cell (diffuse)","C83.1",83,19542209,0.4
,"2018","2018","New York","36","Non-Hodgkin lymphoma large cell (diffuse)","C83.3",255,19542209,1.3
,"2018","2018","New York","36","Peripheral T-cell lymphoma - Malignant neoplasms","C84.4",18,19542209,Unreliable
,"2018","2018","New York","36","Other and unspecified T-cell lymphomas - Malignant neoplasms","C84.5",92,19542209,0.5
,"2018","2018","New York","36","B-cell lymphoma, unspecified - Malignant neoplasms","C85.1",205,19542209,1.0
,"2018","2018","New York","36","Non-Hodgkin lymphoma, unspecified type","C85.9",428,19542209,2.2
,"2018","2018","New York","36","Waldenstr÷m macroglobulinemia","C88.0",13,19542209,Unreliable
,"2018","2018","New York","36","Multiple myeloma - Malignant neoplasms","C90.0",674,19542209,3.4
,"2018","2018","New York","36","Acute lymphoblastic leukaemia - Malignant neoplasms","C91.0",97,19542209,0.5
,"2018","2018","New York","36","Chronic lymphocytic leukaemia - Malignant neoplasms","C91.1",237,19542209,1.2
,"2018","2018","New York","36","Acute myeloid leukaemia - Malignant neoplasms","C92.0",679,19542209,3.5
,"2018","2018","New York","36","Chronic myeloid leukaemia - Malignant neoplasms","C92.1",61,19542209,0.3
,"2018","2018","New York","36","Acute promyelocytic leukaemia - Malignant neoplasms","C92.4",11,19542209,Unreliable
,"2018","2018","New York","36","Acute myelomonocytic leukaemia - Malignant neoplasms","C92.5",12,19542209,Unreliable
,"2018","2018","New York","36","Other myeloid leukaemia - Malignant neoplasms","C92.7",44,19542209,0.2
,"2018","2018","New York","36","Acute leukaemia of unspecified cell type - Malignant neoplasms","C95.0",94,19542209,0.5
,"2018","2018","New York","36","Chronic leukaemia of unspecified cell type - Malignant neoplasms","C95.1",15,19542209,Unreliable
,"2018","2018","New York","36","Leukaemia, unspecified - Malignant neoplasms","C95.9",112,19542209,0.6
,"2018","2018","New York","36","Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified - Malignant neoplasms","C96.9",11,19542209,Unreliable
,"2018","2018","New York","36","Malignant neoplasms of independent (primary) multiple sites","C97",248,19542209,1.3
,"2018","2018","New York","36","Cerebral meninges - Benign neoplasms","D32.0",14,19542209,Unreliable
,"2018","2018","New York","36","Meninges, unspecified - Benign neoplasms","D32.9",32,19542209,0.2
,"2018","2018","New York","36","Liver, gallbladder and bile ducts - Uncertain neoplasms","D37.6",13,19542209,Unreliable
,"2018","2018","New York","36","Other digestive organs - Uncertain neoplasms","D37.7",19,19542209,Unreliable
,"2018","2018","New York","36","Trachea, bronchus and lung - Uncertain neoplasms","D38.1",45,19542209,0.2
,"2018","2018","New York","36","Bladder - Uncertain neoplasms","D41.4",12,19542209,Unreliable
,"2018","2018","New York","36","Brain, unspecified - Uncertain neoplasms","D43.2",99,19542209,0.5
,"2018","2018","New York","36","Myelodysplastic syndrome, unspecified - Uncertain neoplasms","D46.9",376,19542209,1.9
,"2018","2018","New York","36","Chronic myeloproliferative disease - Uncertain neoplasms","D47.1",75,19542209,0.4
,"2018","2018","New York","36","Connective and other soft tissue - Uncertain neoplasms","D48.1",29,19542209,0.1
,"2018","2018","New York","36","Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms","D48.9",33,19542209,0.2
,"2018","2018","New York","36","Sickle-cell anaemia without crisis","D57.1",35,19542209,0.2
,"2018","2018","New York","36","Other autoimmune haemolytic anaemias","D59.1",12,19542209,Unreliable
,"2018","2018","New York","36","Aplastic anaemia, unspecified","D61.9",34,19542209,0.2
,"2018","2018","New York","36","Acute posthaemorrhagic anaemia","D62",29,19542209,0.1
,"2018","2018","New York","36","Anaemia, unspecified","D64.9",113,19542209,0.6
,"2018","2018","New York","36","Disseminated intravascular coagulation [defibrination syndrome]","D65",39,19542209,0.2
,"2018","2018","New York","36","Other thrombophilia","D68.6",12,19542209,Unreliable
,"2018","2018","New York","36","Coagulation defect, unspecified","D68.9",51,19542209,0.3
,"2018","2018","New York","36","Idiopathic thrombocytopenic purpura","D69.3",11,19542209,Unreliable
,"2018","2018","New York","36","Thrombocytopenia, unspecified","D69.6",16,19542209,Unreliable
,"2018","2018","New York","36","Agranulocytosis","D70",34,19542209,0.2
,"2018","2018","New York","36","Haemophagocytic lymphohistiocytosis","D76.1",17,19542209,Unreliable
,"2018","2018","New York","36","Immunodeficiency, unspecified","D84.9",12,19542209,Unreliable
,"2018","2018","New York","36","Sarcoidosis of lung","D86.0",22,19542209,0.1
,"2018","2018","New York","36","Sarcoidosis, unspecified","D86.9",63,19542209,0.3
,"2018","2018","New York","36","Hypothyroidism, unspecified","E03.9",83,19542209,0.4
,"2018","2018","New York","36","Insulin-dependent diabetes mellitus, with ketoacidosis","E10.1",16,19542209,Unreliable
,"2018","2018","New York","36","Insulin-dependent diabetes mellitus, with renal complications","E10.2",45,19542209,0.2
,"2018","2018","New York","36","Insulin-dependent diabetes mellitus, with multiple complications","E10.7",10,19542209,Unreliable
,"2018","2018","New York","36","Insulin-dependent diabetes mellitus, without complications","E10.9",56,19542209,0.3
,"2018","2018","New York","36","Non-insulin-dependent diabetes mellitus, with renal complications","E11.2",300,19542209,1.5
,"2018","2018","New York","36","Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications","E11.5",49,19542209,0.3
,"2018","2018","New York","36","Non-insulin-dependent diabetes mellitus, with multiple complications","E11.7",56,19542209,0.3
,"2018","2018","New York","36","Non-insulin-dependent diabetes mellitus, without complications","E11.9",526,19542209,2.7
,"2018","2018","New York","36","Unspecified diabetes mellitus, with ketoacidosis","E14.1",158,19542209,0.8
,"2018","2018","New York","36","Unspecified diabetes mellitus, with renal complications","E14.2",806,19542209,4.1
,"2018","2018","New York","36","Unspecified diabetes mellitus, with peripheral circulatory complications","E14.5",126,19542209,0.6
,"2018","2018","New York","36","Unspecified diabetes mellitus, with other specified complications","E14.6",28,19542209,0.1
,"2018","2018","New York","36","Unspecified diabetes mellitus, with multiple complications","E14.7",106,19542209,0.5
,"2018","2018","New York","36","Unspecified diabetes mellitus, without complications","E14.9",2189,19542209,11.2
,"2018","2018","New York","36","Hypoglycaemia, unspecified","E16.2",26,19542209,0.1
,"2018","2018","New York","36","Unspecified severe protein-energy malnutrition","E43",98,19542209,0.5
,"2018","2018","New York","36","Unspecified protein-energy malnutrition","E46",61,19542209,0.3
,"2018","2018","New York","36","Extreme obesity with alveolar hypoventilation","E66.2",28,19542209,0.1
,"2018","2018","New York","36","Other obesity","E66.8",255,19542209,1.3
,"2018","2018","New York","36","Obesity, unspecified","E66.9",173,19542209,0.9
,"2018","2018","New York","36","Pure hypercholesterolaemia","E78.0",104,19542209,0.5
,"2018","2018","New York","36","Hyperlipidaemia, unspecified","E78.5",619,19542209,3.2
,"2018","2018","New York","36","Disorder of lipoprotein metabolism, unspecified","E78.9",49,19542209,0.3
,"2018","2018","New York","36","Disorders of calcium metabolism","E83.5",15,19542209,Unreliable
,"2018","2018","New York","36","Cystic fibrosis with other manifestations","E84.8",12,19542209,Unreliable
,"2018","2018","New York","36","Organ-limited amyloidosis","E85.4",87,19542209,0.4
,"2018","2018","New York","36","Amyloidosis, unspecified","E85.9",42,19542209,0.2
,"2018","2018","New York","36","Volume depletion","E86",95,19542209,0.5
,"2018","2018","New York","36","Hyperosmolality and hypernatraemia","E87.0",78,19542209,0.4
,"2018","2018","New York","36","Hypo-osmolality and hyponatraemia","E87.1",15,19542209,Unreliable
,"2018","2018","New York","36","Acidosis","E87.2",145,19542209,0.7
,"2018","2018","New York","36","Hyperkalaemia","E87.5",31,19542209,0.2
,"2018","2018","New York","36","Hypokalaemia","E87.6",12,19542209,Unreliable
,"2018","2018","New York","36","Fluid overload","E87.7",18,19542209,Unreliable
,"2018","2018","New York","36","Other disorders of electrolyte and fluid balance, not elsewhere classified","E87.8",64,19542209,0.3
,"2018","2018","New York","36","Disorders of plasma-protein metabolism, not elsewhere classified","E88.0",10,19542209,Unreliable
,"2018","2018","New York","36","Metabolic disorder, unspecified","E88.9",97,19542209,0.5
,"2018","2018","New York","36","Multi-infarct dementia","F01.1",17,19542209,Unreliable
,"2018","2018","New York","36","Vascular dementia, unspecified","F01.9",606,19542209,3.1
,"2018","2018","New York","36","Unspecified dementia","F03",7005,19542209,35.8
,"2018","2018","New York","36","Delirium superimposed on dementia","F05.1",21,19542209,0.1
,"2018","2018","New York","36","Delirium, unspecified","F05.9",50,19542209,0.3
,"2018","2018","New York","36","Unspecified mental disorder due to brain damage and dysfunction and to physical disease","F06.9",33,19542209,0.2
,"2018","2018","New York","36","Mental and behavioural disorders due to use of alcohol, harmful use","F10.1",242,19542209,1.2
,"2018","2018","New York","36","Mental and behavioural disorders due to use of alcohol, dependence syndrome","F10.2",264,19542209,1.4
,"2018","2018","New York","36","Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder","F10.9",25,19542209,0.1
,"2018","2018","New York","36","Mental and behavioural disorders due to use of opioids, harmful use","F11.1",22,19542209,0.1
,"2018","2018","New York","36","Mental and behavioural disorders due to use of cocaine, harmful use","F14.1",25,19542209,0.1
,"2018","2018","New York","36","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",29,19542209,0.1
,"2018","2018","New York","36","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",80,19542209,0.4
,"2018","2018","New York","36","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",23,19542209,0.1
,"2018","2018","New York","36","Schizophrenia, unspecified","F20.9",31,19542209,0.2
,"2018","2018","New York","36","Bipolar affective disorder, unspecified","F31.9",11,19542209,Unreliable
,"2018","2018","New York","36","Severe depressive episode without psychotic symptoms","F32.2",16,19542209,Unreliable
,"2018","2018","New York","36","Depressive episode, unspecified","F32.9",15,19542209,Unreliable
,"2018","2018","New York","36","Psychological and behavioural factors associated with disorders or diseases classified elsewhere","F54",10,19542209,Unreliable
,"2018","2018","New York","36","Unspecified mental retardation","F79",18,19542209,Unreliable
,"2018","2018","New York","36","Bacterial meningitis, unspecified","G00.9",14,19542209,Unreliable
,"2018","2018","New York","36","Meningitis, unspecified","G03.9",18,19542209,Unreliable
,"2018","2018","New York","36","Encephalitis, myelitis and encephalomyelitis, unspecified","G04.9",15,19542209,Unreliable
,"2018","2018","New York","36","Extradural and subdural abscess, unspecified","G06.2",13,19542209,Unreliable
,"2018","2018","New York","36","Huntington disease","G10",52,19542209,0.3
,"2018","2018","New York","36","Motor neuron disease","G12.2",378,19542209,1.9
,"2018","2018","New York","36","Parkinson disease","G20",1595,19542209,8.2
,"2018","2018","New York","36","Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]","G23.1",67,19542209,0.3
,"2018","2018","New York","36","Alzheimer disease with early onset","G30.0",14,19542209,Unreliable
,"2018","2018","New York","36","Alzheimer disease with late onset","G30.1",257,19542209,1.3
,"2018","2018","New York","36","Alzheimer disease, unspecified","G30.9",3482,19542209,17.8
,"2018","2018","New York","36","Circumscribed brain atrophy","G31.0",69,19542209,0.4
,"2018","2018","New York","36","Senile degeneration of brain, not elsewhere classified","G31.1",710,19542209,3.6
,"2018","2018","New York","36","Other specified degenerative diseases of nervous system","G31.8",217,19542209,1.1
,"2018","2018","New York","36","Degenerative disease of nervous system, unspecified","G31.9",44,19542209,0.2
,"2018","2018","New York","36","Multiple sclerosis","G35",228,19542209,1.2
,"2018","2018","New York","36","Epilepsy, unspecified","G40.9",70,19542209,0.4
,"2018","2018","New York","36","Status epilepticus, unspecified","G41.9",74,19542209,0.4
,"2018","2018","New York","36","Transient cerebral ischaemic attack, unspecified","G45.9",15,19542209,Unreliable
,"2018","2018","New York","36","Sleep apnoea","G47.3",45,19542209,0.2
,"2018","2018","New York","36","Guillain-Barre syndrome","G61.0",10,19542209,Unreliable
,"2018","2018","New York","36","Myasthenia gravis","G70.0",46,19542209,0.2
,"2018","2018","New York","36","Myoneural disorder, unspecified","G70.9",18,19542209,Unreliable
,"2018","2018","New York","36","Muscular dystrophy","G71.0",45,19542209,0.2
,"2018","2018","New York","36","Myotonic disorders","G71.1",12,19542209,Unreliable
,"2018","2018","New York","36","Infantile cerebral palsy, unspecified","G80.9",90,19542209,0.5
,"2018","2018","New York","36","Paraplegia, unspecified","G82.2",17,19542209,Unreliable
,"2018","2018","New York","36","Tetraplegia, unspecified","G82.5",19,19542209,Unreliable
,"2018","2018","New York","36","Hydrocephalus, unspecified","G91.9",14,19542209,Unreliable
,"2018","2018","New York","36","Anoxic brain damage, not elsewhere classified","G93.1",229,19542209,1.2
,"2018","2018","New York","36","Encephalopathy, unspecified","G93.4",84,19542209,0.4
,"2018","2018","New York","36","Compression of brain","G93.5",23,19542209,0.1
,"2018","2018","New York","36","Cerebral oedema","G93.6",19,19542209,Unreliable
,"2018","2018","New York","36","Disorder of brain, unspecified","G93.9",30,19542209,0.2
,"2018","2018","New York","36","Mitral stenosis","I05.0",26,19542209,0.1
,"2018","2018","New York","36","Mitral valve disease, unspecified","I05.9",40,19542209,0.2
,"2018","2018","New York","36","Tricuspid insufficiency","I07.1",16,19542209,Unreliable
,"2018","2018","New York","36","Disorders of both mitral and aortic valves","I08.0",41,19542209,0.2
,"2018","2018","New York","36","Disorders of both mitral and tricuspid valves","I08.1",14,19542209,Unreliable
,"2018","2018","New York","36","Rheumatic heart disease, unspecified","I09.9",17,19542209,Unreliable
,"2018","2018","New York","36","Essential (primary) hypertension","I10",1830,19542209,9.4
,"2018","2018","New York","36","Hypertensive heart disease with (congestive) heart failure","I11.0",1656,19542209,8.5
,"2018","2018","New York","36","Hypertensive heart disease without (congestive) heart failure","I11.9",2456,19542209,12.6
,"2018","2018","New York","36","Hypertensive renal disease with renal failure","I12.0",880,19542209,4.5
,"2018","2018","New York","36","Hypertensive renal disease without renal failure","I12.9",20,19542209,0.1
,"2018","2018","New York","36","Hypertensive heart and renal disease with (congestive) heart failure","I13.0",26,19542209,0.1
,"2018","2018","New York","36","Hypertensive heart and renal disease with renal failure","I13.1",165,19542209,0.8
,"2018","2018","New York","36","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","I13.2",246,19542209,1.3
,"2018","2018","New York","36","Hypertensive heart and renal disease, unspecified","I13.9",14,19542209,Unreliable
,"2018","2018","New York","36","Acute subendocardial myocardial infarction","I21.4",425,19542209,2.2
,"2018","2018","New York","36","Acute myocardial infarction, unspecified","I21.9",5526,19542209,28.3
,"2018","2018","New York","36","Other forms of acute ischaemic heart disease","I24.8",66,19542209,0.3
,"2018","2018","New York","36","Acute ischaemic heart disease, unspecified","I24.9",210,19542209,1.1
,"2018","2018","New York","36","Atherosclerotic cardiovascular disease, so described","I25.0",4737,19542209,24.2
,"2018","2018","New York","36","Atherosclerotic heart disease","I25.1",18299,19542209,93.6
